query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
AZU_Expressed_genes,TRUE,0.00101771046137987,162,541,52,0.0961182994454713,0.320987654320988,GO:0042221,GO:BP,response to chemical,3578,9400,GO:0050896
AZU_Expressed_genes,TRUE,0.0032524322589666,38,541,20,0.0369685767097967,0.526315789473684,GO:0006979,GO:BP,response to oxidative stress,3578,2471,GO:0006950
AZU_Expressed_genes,TRUE,0.00368896131230183,26,541,16,0.0295748613678373,0.615384615384615,GO:0042743,GO:BP,hydrogen peroxide metabolic process,3578,9682,GO:0072593
AZU_Expressed_genes,TRUE,0.00368896131230183,26,541,16,0.0295748613678373,0.615384615384615,GO:0042744,GO:BP,hydrogen peroxide catabolic process,3578,9683,GO:0009056|GO:0042743
AZU_Expressed_genes,TRUE,0.00764819403150984,92,541,34,0.0628465804066544,0.369565217391304,GO:0070887,GO:BP,cellular response to chemical stimulus,3578,15231,GO:0042221|GO:0051716
AZU_Expressed_genes,TRUE,0.00780296048469297,27,541,16,0.0295748613678373,0.592592592592593,GO:0072593,GO:BP,reactive oxygen species metabolic process,3578,16278,GO:0008152
AZU_Expressed_genes,TRUE,0.0134616399331728,34,541,18,0.033271719038817,0.529411764705882,GO:0098869,GO:BP,cellular oxidant detoxification,3578,17680,GO:1990748
AZU_Expressed_genes,TRUE,0.0238728109419419,35,541,18,0.033271719038817,0.514285714285714,GO:0097237,GO:BP,cellular response to toxic substance,3578,17331,GO:0009636|GO:0070887
AZU_Expressed_genes,TRUE,0.0238728109419419,35,541,18,0.033271719038817,0.514285714285714,GO:1990748,GO:BP,cellular detoxification,3578,23423,GO:0009987|GO:0097237|GO:0098754
AZU_Expressed_genes,TRUE,0.000370036310987257,26,541,17,0.0314232902033272,0.653846153846154,GO:0140825,GO:MF,lactoperoxidase activity,3578,9487,GO:0004601
AZU_Expressed_genes,TRUE,0.00197179571142902,31,541,18,0.033271719038817,0.580645161290323,GO:0004601,GO:MF,peroxidase activity,3578,882,GO:0016209|GO:0016684
AZU_Expressed_genes,TRUE,0.00197179571142902,31,541,18,0.033271719038817,0.580645161290323,GO:0016684,GO:MF,"oxidoreductase activity, acting on peroxide as acceptor",3578,2814,GO:0016491
AZU_Expressed_genes,TRUE,0.0134616399331728,34,541,18,0.033271719038817,0.529411764705882,GO:0016209,GO:MF,antioxidant activity,3578,2651,GO:0003674
AZU_Expressed_genes,TRUE,0.0418168752417315,133,541,42,0.077634011090573,0.315789473684211,GO:0003700,GO:MF,DNA-binding transcription factor activity,3578,326,GO:0140110
BGI_Expressed_genes,TRUE,0.0020934485380515,48,355,19,0.0535211267605634,0.395833333333333,GO:0008194,GO:MF,UDP-glycosyltransferase activity,3578,1567,GO:0016757
BGI_Expressed_genes,TRUE,0.0490993151485155,73,355,22,0.0619718309859155,0.301369863013699,GO:0016757,GO:MF,glycosyltransferase activity,3578,2871,GO:0016740
hyper - Azucena (CG context) - genes,TRUE,0.00478907174220759,368,217,48,0.221198156682028,0.130434782608696,GO:0017076,GO:MF,purine nucleotide binding,3578,3041,GO:0000166
hyper - Azucena (CG context) - genes,TRUE,0.00780950330892971,362,217,47,0.216589861751152,0.129834254143646,GO:0032553,GO:MF,ribonucleotide binding,3578,4164,GO:0000166|GO:0097367
hyper - Azucena (CG context) - genes,TRUE,0.010103980669516,365,217,47,0.216589861751152,0.128767123287671,GO:0097367,GO:MF,carbohydrate derivative binding,3578,8334,GO:0005488
hyper - Azucena (CG context) - genes,TRUE,0.0126876108320161,356,217,46,0.211981566820277,0.129213483146067,GO:0032555,GO:MF,purine ribonucleotide binding,3578,4166,GO:0017076|GO:0032553
hyper - Azucena (CG context) - genes,TRUE,0.017320560967677,348,217,45,0.207373271889401,0.129310344827586,GO:0030554,GO:MF,adenyl nucleotide binding,3578,3665,GO:0017076
hyper - Azucena (CG context) - genes,TRUE,0.0203746724766495,77,217,18,0.0829493087557604,0.233766233766234,GO:0017111,GO:MF,ribonucleoside triphosphate phosphatase activity,3578,3056,GO:0016462
hyper - Azucena (CG context) - genes,TRUE,0.0253594062993376,400,217,49,0.225806451612903,0.1225,GO:0000166,GO:MF,nucleotide binding,3578,31,GO:1901265|GO:1901363
hyper - Azucena (CG context) - genes,TRUE,0.0274156211140036,401,217,49,0.225806451612903,0.122194513715711,GO:1901265,GO:MF,nucleoside phosphate binding,3578,9833,GO:0005488
hyper - Azucena (CG context) - genes,TRUE,0.0342133004463641,416,217,50,0.230414746543779,0.120192307692308,GO:1901363,GO:MF,heterocyclic compound binding,3578,9836,GO:0036094
hyper - Azucena (CG context) - genes,TRUE,0.037565637779562,80,217,18,0.0829493087557604,0.225,GO:0016462,GO:MF,pyrophosphatase activity,3578,2724,GO:0016818
hyper - Azucena (CG context) - genes,TRUE,0.0450328893033301,336,217,43,0.19815668202765,0.12797619047619,GO:0032559,GO:MF,adenyl ribonucleotide binding,3578,4170,GO:0030554|GO:0032555
hyper - Azucena (CG context) - genes,TRUE,0.0457285048160548,81,217,18,0.0829493087557604,0.222222222222222,GO:0016818,GO:MF,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",3578,2915,GO:0016817
hyper - BGI (CG context) - genes,TRUE,0.00970981102642214,988,357,141,0.394957983193277,0.142712550607287,GO:0044238,GO:BP,primary metabolic process,3578,10236,GO:0008152
